old_code,new_code
VZ012,CHN0120J
VZ021,CHN0210J
VZ022,CHN0220J
VZ031,CHN0310J
VZ032,CHN0320J
VZ041,CHN0410J
VZ042,CHN0420J
VZ051,CHN0510J
VZ052,CHN0520J
VZ061,CHN0610J
VZ062,CHN0620J
SO113,CHN0914
CH008,CHN0919
CH080,CHN0920
CH081,CHN0921
JC304,CHN0922
CH003,CHN0924
VZ102,CHN1020J
CL116,CHN1301
CL201,CHN1302
CL202,CHN1303
CL107,CHN1304
CH101,CHN1306
CL101,CHN1307
CL117,CHN1308
CL205,CHN1309
CL210,CHN1310
CL115,CHN1311
CH102,CHN1312
CL119,CHN1313
CH943,CHN1350
CL034,CHN1351
EN141,CHN1352
CI101,CHN1401
CI103,CHN1402
CI114,CHN1403
CI207,CHN1404
CI102,CHN1405
CI104,CHN1406
CI115,CHN1407
CI208,CHN1408
CI237,CHN1409
CI386,CHN1410
CI120,CHN1411
CI121,CHN1412
EN223,CHN1414
CL105,CHN2301
CL310,CHN2302
CL231,CHN2303
EN259,CHN2304
CH051,CHN2305
CL219,CHN2306
CL220,CHN2307
CL225,CHN2308
CL226,CHN2309
CL227,CHN2310
CL228,CHN2311
CL229,CHN2312
CL313,CHN2313
CH110,CHN2314
CH203,CHN2315
CL217,CHN2316
CL311,CHN2317
CL218,CHN2318
CL230,CHN2319
CL216,CHN2320
CL221,CHN2321
CL222,CHN2322
CL223,CHN2323
CL224,CHN2324
CH111,CHN2325
CI201,CHN2401
CI203,CHN2402
CI225,CHN2403
CI341,CHN2404
CI202,CHN2405
CI204,CHN2406
CI226,CHN2407
CI342,CHN2408
CI321,CHN2409
JA220,CHN2410
CI216,CHN2411
CI227,CHN2412
PM348,CHN2413
CI376,CHN2414
CI119,CHN2415
CI438,CHN2416
CI228,CHN2417
CI229,CHN2418
CI230,CHN2419
CI231,CHN2420
CI232,CHN2421
CI233,CHN2422
CI234,CHN2423
CI235,CHN2424
VR252,CHN2520J
VR280,CHN2800J
CL331,CHN3301
CL332,CHN3302
CL212,CHN3303
CL323,CHN3304
CL333,CHN3305
CL334,CHN3306
CL335,CHN3307
CL336,CHN3308
CL348,CHN3309
CL409,CHN3310
CL422,CHN3311
CH305,CHN3312
CL330,CHN3313
CL300,CHN3314
CL337,CHN3315
CL338,CHN3316
CL339,CHN3317
CL340,CHN3318
CL341,CHN3319
CL342,CHN3320
CL343,CHN3321
CL344,CHN3322
CL345,CHN3323
CL346,CHN3324
CH306,CHN3325
CL347,CHN3326
CI305,CHN3401
CI306,CHN3402
CI363,CHN3403
CI421,CHN3404
CI313,CHN3406
CI314,CHN3407
CI387,CHN3408
CI315,CHN3409
CI378,CHN3410
CI379,CHN3411
CI388,CHN3412
CI402,CHN3413
CI300,CHN3414
CI350,CHN3415
CI319,CHN3416
CI389,CHN3417
CI390,CHN3418
CI366,CHN3419
CI369,CHN3420
CI373,CHN3421
EC106,CHN3422
BU101,CHN3423
CI367,CHN3424
CI374,CHN3425
ET400,CHN3426
CI364,CHN3427
CI365,CHN3428
FI300,CHN3429
EN435,CHN3430
CI382,CHN3431
CI383,CHN3432
EN340,CHN3433
EN341,CHN3434
CI346,CHN3435
CI347,CHN3436
VR363,CHN3630J
BS452,CHN4301
EN411,CHN4302
CI357,CHN4401
CI437,CHN4402
CI380,CHN4403
CI401,CHN4404
CI431,CHN4405
CI407,CHN4406
CI439,CHN4407
CI411,CHN4408
CI429,CHN4409
BU401,CHN4410
FI316,CHN4411
BS425,CHN4412
BS062,CHN4413
BU106,CIM4478
JC121,CIM4480
EC101,CIM1203
CH323,CIM1225
JC036,CIM1241
CH128,CIM1243
CH007,CIM4479
PU221,CIM2207
PU222,CIM2208
CH108,CIM2209
CH321,CIM2210
FT351,CIM2211
JC308,CIM2212
PU235,CIM2213
PU420,CIM2214
JC117,CIM2242
PU333,CIM2249
JC038,CIM2252
PU332,CIM3115
PU341,CIM3116
PU342,CIM3117
PU344,CIM3118
PU343,CIM3120
PU011,CIM3126
PU347,CIM3127
PU346,CIM3128
PU418,CIM3129
JC037,CIM3150
JC119,CIM3151
PU348,CIM3232
PU349,CIM3233
PU350,CIM3234
PU354,CIM3235
PU355,CIM3236
PU416,CIM3437
JC407,CIM4121
JC408,CIM4122
PU437,CIM4123
PU414,CIM4130
PU417,CIM4131
BS019,CIM4438
CS149,CS0501
CS158,CS0501H
CS146,CS0900
CS171,CS1501
CS157,CS1501H
MA208,CS1601
CS124,CS1602
CS125,CS1603
CS162,CS1651
CS165,CS1652
CS163,CS1950
CS147,CS1951
MS106,CS1952
CS151,CS1953
CS152,CS1954
CS101,CS1955
MS125,CS1956
CS037,CS1980
CS172,CS1983
CS308,CS2301
CS307,CS2302
CS356,CS2303
CS499,CS2304
CS359,CS2305
CS145,CS2306
EI209,CS2307
CS214,CS2308
CS241,CS2309
MA238,CS2501
MA239,CS2501H
EI313,CS2522
CS221,CS2602
CS263,CS2603
EI333,CS2604
CS169,CS2651
CS170,CS2901
CS301,CS2950
MS108,CS2951
MS110,CS2952
MS208,CS2953
MA150,CS2954
CS225,CS2955
CS233,CS2956
CS251,CS2957
CS259,CS2958
CS387,CS2959
CS389,CS2960
CS447,CS2961
CS477,CS2962
CS487,CS2963
MA115,CS2964
CS254,CS2980
CS040,CS2981
CS089,CS2982
CS091,CS2983
CS473,CS3301
CS353,CS3302
SE353,CS3303
CS383,CS3304
IS310,CS3305
CS246,CS3306
CS438,CS3307
CS420,CS3308
CS240,CS3309
CS337,CS3310
CS339,CS3311
IS308,CS3312
CS467,CS3313
IS307,CS3314
CS242,CS3315
CS489,CS3316
CS410,CS3317
CS245,CS3319
CS239,CS3320
SE305,CS3321
CS235,CS3323
CS386,CS3324
IS309,CS3325
IS312,CS3326
CS238,CS3327
CS236,CS3328
CS431,CS3329
CS445,CS3330
EE458,CS3331
EI328,CS3507
EI327,CS3511
EI314,CS3512
EI326,CS3520
EI339,CS3606
EI338,CS3607
CS222,CS3608
CS385,CS3609
EE359,CS3610
EE357,CS3611
CS217,CS3950
MS113,CS3951
CS392,CS3952
CS391,CS3953
CS396,CS3954
MS318,CS3955
CS229,CS3956
CS230,CS3957
CS433,CS4302
CS248,CS4303
CS243,CS4304
CS427,CS4305
CS237,CS4306
CS244,CS4307
CS226,CS4308
IS314,CS4309
CS247,CS4310
IS311,CS4311
IS313,CS4312
CS249,CS4313
CS382,CS4314
BS101,CS4315
EI402,CS4504
EI403,CS4510
MS117,CS4950
CS207,CS4951
BS432,CS4952
VR201,CUL2010J
VR253,CUL2530J
VR353,CUL3530J
VR399,CUL3990J
AD110,DES1303
ID106,DES1305
ID107,DES1306
ID103,DES1307
ID105,DES1308
AD117,DES1310
ID117,DES1314
ID212,DES1315
ID113,DES1316
ID108,DES1317
ID120,DES1350H
AD126,DES1511
ID114,DES1512
AD127,DES1513
AD132,DES1601
AD116,DES1602
AD125,DES1603
AD237,DES1604
AD414,DES1605
AD084,DES1606
ID417,DES1607
AD214,DES1704
AD130,DES1705
AD131,DES1706
AD128,DES1707
CS111,DES2301
ID038,DES2306
AD803,DES4808
ID036,DES2308
ID037,DES2309
ID039,DES2311
ID204,DES2312
ID419,DES2318
IO409,DES2319
ID514,DES2320
ID420,DES2321
ID418,DES2322
AD083,DES2325
AD206,DES2501
AD086,DES2504
JC039,DES2505
AD087,DES2506
AD085,DES2507
AD232,DES2512
AD416,DES2515
AD226,DES2516
AD412,DES2517
AD233,DES2703
AD082,DES2704
AD308,DES2705
AD089,DES2706
AD088,DES2707
ID421,DES2713
AD411,DES2714
AD413,DES2715
AD415,DES2716
ID325,DES3304
ID321,DES3307
ID327,DES3311
ID609,DES3314
ID702,DES3319
ID512,DES3504
AD510,DES3505
AD512,DES3506
AD508,DES3507
AD618,DES3514
AD617,DES3515
ID606,DES3517
ID510,DES3601
AD613,DES3604
AD509,DES3704
AD511,DES3705
AD707,DES3706
ID416,DES3712
AD614,DES3713
AD615,DES3714
AD616,DES3715
AD612,DES3716
AR309,DES3717
ID513,DES3802
AD619,DES3807
ID610,DES4303
ID802,DES4304
AD403,DES4503
AD404,DES4504
AD705,DES4505
AD802,DES4507
ID608,DES4604
AD706,DES4701
AD620,DES4705
ID508,DES5401
ID511,DES5402
ID509,DES5403
ID607,DES5415
VE215,ECE2150J
VE216,ECE2160J
VE230,ECE2300J
VE270,ECE2700J
VE280,ECE2800J
VE281,ECE2810J
VE311,ECE3110J
VE312,ECE3120J
VE320,ECE3200J
VE330,ECE3300J
VE334,ECE3340J
VE370,ECE3700J
VE373,ECE3730J
VE401,ECE4010J
VE411,ECE4110J
VE413,ECE4130J
VE415,ECE4140J
VE420,ECE4200J
VE427,ECE4270J
VE434,ECE4340J
VE438,ECE4380J
VE449,ECE4411J
VE445,ECE4450J
VE450,ECE4500J
VE451,ECE4510J
VE452,ECE4520J
VE455,ECE4550J
VE458,ECE4580J
VE460,ECE4600J
VE461,ECE4610J
VE475,ECE4750J
VE484,ECE4760J
VE488,ECE4761J
VE477,ECE4770J
VE482,ECE4820J
VE487,ECE4870J
VE489,ECE4890J
VE490,ECE4900J
VE492,ECE4920J
VE499,ECE4990J
VE504,ECE6202J
VE520,ECE6206J
VE530,ECE6302J
VE534,ECE6303J
VE501,ECE6601J
VM564,ECE6602J
VE554,ECE6604J
VE556,ECE6605J
VE572,ECE6701J
VE593,ECE6702J
VE689,ECE7601J
EV002,ECOL1301
AB207,ECOL2302
RE003,ECOL2401
RE004,ECOL2501
BI074,ECOL2701
PL319,ECOL3303
RE211,ECOL3304
PL316,ECOL3407
AB304,ECOL3410
RE408,ECOL3411
PL328,ECOL3415
RE343,ECOL3416
RE204,ECOL3417
RE205,ECOL3418
RE207,ECOL3419
RE209,ECOL3420
RE210,ECOL3421
RE215,ECOL3422
RE212,ECOL3423
RE214,ECOL3424
RE208,ECOL3505
RE206,ECOL3506
RE213,ECOL3602
BI495,ECOL4402
RE203,ECOL4403
RE216,ECOL4404
RE217,ECOL4405
RE202,ECOL4602
VF101,ECON1010J
EC109,ECON1301
BU107,ECON1304
EC108,ECON1401
EC107,ECON1403
FI004,ECON1601
EC310,ECON2402
EC311,ECON2403
EC306,ECON2404
EC219,ECON2501
EC216,ECON2504
EC218,ECON2505
EC217,ECON2506
EC341,ECON2507
FI005,ECON2508
FI100,ECON2509
FI303,ECON2510
AM222,ECON2601
EC301,ECON2602
FI301,ECON2603
ET212,ECON2604
AM321,ECON2606
EC200,ECON2607
EC323,ECON2608
AM347,ECON2609
EC321,ECON3301
EC326,ECON3406
EN349,ECON3407
FI410,ECON3501
FI454,ECON3503
ET406,ECON3504
ET401,ECON3505
ET211,ECON3507
FI408,ECON3509
FI310,ECON3510
LA228,ECON3511
FI323,ECON3513
EC342,ECON3514
FI453,ECON3515
EC314,ECON3601
EC413,ECON3602
EC433,ECON3603
EC320,ECON3604
ET311,ECON3605
EC325,ECON3606
EC330,ECON3607
EC312,ECON3608
FI322,ECON3609
EC339,ECON3610
EC336,ECON3611
EC327,ECON3612
EN315,ECON3614
EC406,ECON3615
EC331,ECON3616
BS450,ECON4701
XP444,ECON4702
EC333,ECON7001
EC345,ECON7002
EC344,ECON7004
EC354,ECON7005
EC346,ECON9002
EC347,ECON9004
EC348,ECON9005
EI114,EE0501H
EI228,EE0509
EE105,EE1651
EI200,EE2301
EI312,EE2508
EI311,EE2521
EI249,EE2524
EI247,EE2527
EE003,EE2901
EE223,EE2902
EE220,EE2903
EE303,EE3304
EE332,EE3305
EE308,EE3306
EE300,EE3307
EE413,EE3308
EE315,EE3309
EE301,EE3310
EE302,EE3311
EE319,EE3312
EE340,EE3315
EE311,EE3317
EE317,EE3318
EE433,EE3319
EE333,EE3321
EE329,EE3322
EI306,EE3323
EI317,EE3515
EI248,EE3523
EI404,EE3524
EI252,EE3525
EI250,EE3528
AU320,EE3701
EE005,EE3901
EE006,EE3902
EE434,EE4302
EE422,EE4303
EE417,EE4304
EE435,EE4305
EE420,EE4306
EE415,EE4307
EE412,EE4308
EE400,EE4309
EE033,EE4310
EE430,EE4311
EE431,EE4312
EE404,EE4313
EE436,EE4314
EE411,EE4315
EE104,EE4316
EE425,EE4317
BS443,EE4319
EE034,EE4321
EI401,EE4518
VY100,ENGL1000J
VY125,ENGL1050J
VR120,ENGL1520J
VY200,ENGL2000J
VY201,ENGL2010J
VY210,ENGL2040J
VY223,ENGL2050J
VY298,ENGL2200J
VR290,ENGL2390J
VR222,ENGL2400J
VR241,ENGL2410J
VR292,ENGL2420J
VY230,ENGL2430J
VR276,ENGL2460J
VR239,ENGL2470J
VR245,ENGL2550J
VR236,ENGL2560J
VR205,ENGL2600J
VY311,ENGL3010J
VY301,ENGL3110J
VR320,ENGL3300J
VY325,ENGL3450J
VR333,ENGL3530J
VG100,ENGR1000J
VG101,ENGR1010J
VM384,ENGR3840J
VG450,ENGR4500J
VG451,ENGR4510J
VM484,ENGR4840J
VG496,ENGR4960J
EV001,ENVR3200
EV202,ENVR3202
EV205,ENVR3203
EV210,ENVR3204
